English,Hindi
aback,अचानक;एकाएक;पीछे
abandon,छोड देना;त्याग देना;त्यागना
abandoned,छोडा हुआ;निर्जन( स्थान)
abandonment,पूर्ण त्याग
abate,कम होना;घटना;धीमा होना
abatement,कमी;घटती;घटाव;मन्दापन;बट्टा
abbey,ईसाइयो का मठ;गुरुद्वारा;कुटी
abbot,महन्त;मठधारी;मठाधिकारी
abbreviate,कम करना;संक्षेप करना
abbreviation,संक्षेप;घटाव;सार;लघुरूप;संकेत
abdicate,स्वेच्छा से छोडना;त्याग करना
abdication,पद त्याग
abdomen,पेड;पेट;कुक्षी;उदर
abdominal,उदर सम्बन्धी;पेट का
abduct,भगा ले जाना;निकाल ले जाना
abduction,धोका देकर निकाल;ले जाना;बलात्कार हरण;अपहर
abed,बिछौने पर;शय्या पर;बिछौने में
aberration,भ्रम;विक्षेप;भूल;च्युति
abeyance,क्षणिक विराम;विलंब;ठहराव
abhor,झिझकना
abhorrence,घृणा;विद्वेष;झिझक
abide,बसना;डेरा करना;टिकना;ठहरना
ability,योग्यता;निपुणता;प्रवीणता
abject,कमीना;नीच;बुरा;अधम;पतित
ablaze,जलता हुआ;प्रज्वलित
able,चतुर;प्रवीण;गुणवान;समर्थ
abnormal,असाधारण;असामान्य;नियमविरुद्ध
aboard,जहाज पर;नौका पर;जलयान में
abode,घर;मकान;डेरा;वास स्थान
abolish,उठा देना;मिटाना;बन्द करना
abolition,लोप;नाश;टूट;मिटाव;उठाव
abominable,घृणित;घृणा योग्य;बुरा;घिनौना
abomination,घृणा;विद्वेष;अपविघ्नता
aboriginal,आदि का;आदिम;प्राचीन;पुराना
aborigines,प्राचीन देशवासी;आदि निवासी
abort,गर्भस्राव होना;गर्भ गिरना
abortion,गर्भपात;पेट गिरना
abortive,अधूरा;कच्चा;अपूर्ण काल;निष्फल
abound,बहुतायात से होना
abration,रगड;घिसन
abreast,एक सीध में;साथ साथ
abridge,लघु करना;संक्षेप करना
abroad,बाहर;परदेश में;देश से बाहर
abrogate,रद्द करना;निष्प्रभाव करना
abrupt,विषम;ऊंचा नीचा
abruptly,शीघ्रता से;अकस्मात;अचानक
absence,अनुपस्थिति;गैरहाजिरी;परोक्ष
absent,अनुपस्थित;अवर्तमान;गैरहाजिर
absentee,अनुपस्थित जन;प्रवासी
absolute,स्वेच्छाचारी;स्वतंत्र;स्वाधीन
absolutely,स्वेच्छापूर्वक;निपट;निरा
absolve,क्षमा करना;छोडना;मुक्त करना
absorb,सोखना;निगल जाना;पी लेना
absorbed,सोखा हुआ;शोषित
absorbent,सोखने वाला;शोषक;निगलने वाला
abstain,बचना;निवृत्त होना;अलग रहना
abstract,सारांश;तत्व;संक्षेप
abstraction,बेसुधी;पृथक्करण
absurd,बुद्धिविरुद्ध;न्यायविरुद्ध
absurdity,अनर्थकता;असंगति;मूर्खता
abundant,ढेर;अधिक;बहुत;घनेरा;पर्याप्त
abuse,बुरा बर्ताव;अनुचित व्यवहार
abusive,निन्दक कुत्सावादी
abut,मिलना;भिडना;आमने सामने होना
abyss,गहरा कुंड;अतल समुद्र;नरक कुंड
academic,अक्रियात्मक;सिद्धांत विषयक
accede,स्वीकार करना;मान लेना
accelerate,चाल बढाना;फुर्ती करना
acceleration,चाल बढाना;फुर्ती;शीघ्रता
accent,स्वर;आघात
accentuate,जोर देना
accept,मानना;स्वीकार करना;सहमत होना
acceptable,मनभावना;स्वीकारयोग्य;भला
acceptance,स्वीकार;प्रतिग्रह;स्वागत
access,पहुंच;पथ;मार्ग;प्रवेश;वृद्धि
accessible,अभिगम्य;पहुंचने योग्य;सुलभ
accession,वृद्धि;बढती;पहुंच;आरोहण
accessory,सहायक;साथ देने वाला;अधिक;सहित
accident,संयोग;घटना;दैवयोग;विपद
accidental,सांयोगिक;अकस्माती;दैवायत्त
acclaim,वाह वाह करना;जय जयकार करना
accommodate,देना;पहुंचाना;सुविधा करना
accommodation,जगह;स्थान;गृह;निवास स्थान
accompany,साथ होना;साथ देना
accomplice,सहापराधी;अपराध में साझी
accomplish,पूरा करना;संपूर्ण करना
accomplished,विद्यासंपन्न;सुशिक्षित;प्रवीण
accomplishment,परिपूर्णता;प्राप्ति;सिद्धि
accord,मेल;मिलाप;संमति;एकचित्तता
accordance,मेल;एकता;ताल मेल;समानता
according,समान;मिलता हुआ;अनुसार;अनुरूप
accordingly,तदनुसार;इस कारण से;इसलिये
accost,संभाषण करना;पहले टोकना
account,गणना;लेखा;हिसाब;वर्णन;कथा
accountable,उत्तरदायी;जिम्मेदार
accountancy,हिसाब किताब
accountant,मुनीम
accredit,विश्वास करना;अधिकार देना
accrue,उत्पन्न होना;लाभ होना
accumulate,इकठ्ठा करना;ढेर लगाना;बटोरना
accumulation,ढेर;संचय;जमाव;बटोर
accuracy,शुद्धता;यथार्थता;सत्यता
accurate,सही;ठीक;यथार्थ;शुद्ध;अचूक
accuse,दोष लगाना;अपराधी ठहराना
accused,अभियुक्त;मुलाजिम
accuser,दोष लगाने वाला;निन्दकवादी
accustom,आदत डालना;परिचित करना
accustomed,अभ्यस्त;परिचित;आदि;अभ्यासी
ace,इक्का( ताश का);बिन्दी;इकाई
ache,पीडा;दर्द;वेदना;व्यथा
achieve,पूरा करना;निबाहना
achievement,पराक्रम;वीरता का काम;करतूत
acid,अम्ल;खट्टा;तुर्श;तीक्ष्ण
acidity,खट्टापन;तुर्शी;अम्लता
acknowledge,स्वीकार करना;मानना
acknowledgment,स्वीकार;अंगीकार;रसीद;धन्यवाद
acme,पराकाष्ठा;शिखर;ऊंचाई की सीमा
acquaint,परिचित करना;चिह्न पहचान करना
acquainted,परिचित;अभ्यस्त;अभिज्ञ
acquiescence,प्रसन्नता पूर्वक अंगीकार
acquire,पाना;हासिल करना;प्राप्त करना
acquisition,उपार्जन;प्राप्ति;लाभ
acquittal,छुटकारा;मुक्ति;रिहाई
acre,( 4;एकड
acrid,चरपरा;कडुआ;तीता;झालदार;गरम
acrimony,कडुवापन;तेजी;चरपराहट;कठोरता
acrobat,नट;नेटुआ
across,आरपार;आडा;बडा;तिरछा;पार
act,क्रिया करना;व्यापार;काम;कर्म
acting,स्थानपन्न;एवज
action,काम;क्रिया;कार्य;व्यापार
active,कर्ता;गुणी;क्रियाशील;उद्यमी
activity,फुर्ती;शीघ्रता;वेग;उद्योगिता
actual,यथार्थ;ठीक;सत्य निश्चय
actuality,वास्तविकता;यथार्थता;सत्यता
actually,वस्तुत:;वास्तव में;सचमुच
actuary,मुंशी;लेखक;मुहर्रिर;मुनीम
acumen,तीव्र दृष्टि;चतुरता
acute,तीक्ष्ण;तीव्र;चतुर;चालाक;तेज
adage,कहावत;मसल;प्रवाद;वचन;उक्ति
adamant,हीरा;मणि;अटल;वज्र
adapt,एक समान करना
