English,Hindi
Abelian group,आबेली समूह
abelian semigroup,आबेली सामिसमूह
abscissa,भुज
absolute,"निरपेक्ष, परम, अचर, परिशुद्‌ध"
absolute convergence,निरपेक्ष अभिसरण
absolute error,निरपेक्ष त्रुटि
absolute maximum,परम उच्चिष्ठ
absolute minimum,परम निम्निष्ठ
absolute value,निरपेक्ष मान
absolute velocity,निरपेक्ष वेग
abstract algebra,अमूर्त बीजगणित
abstract group theory,अमूर्त समूह सिद्‌धांत
acceleration,त्वरण
acceleration due to gravity,गुरुत्वीय त्वरण
acceptable choice set,स्वीकार्य वरण-समुच्चय
acceptable quality level,स्वीकार्य गुणता स्तर
acceptable range,स्वीकार्य परिसर
acceptable reliability level,मान्य विश्वसनीयता स्तर
acceptable sampling,स्वीकरण-प्रतिचयन
accumulated error,संचित त्रुटि
accuracy,यथार्थता
acting force,लगा हुआ बल
action," क्रिया , कर्म"
action and reaction,क्रिया और प्रतिक्रिया
acturial science,बीमा विज्ञान
acute angled triangle,न्यूनकोण त्रिभुज
acyclic,अचक्रीय
add,"योग करना, जोड़ना"
adder,योजक
addition,"योग, जोड़, संकलन (स.), योगात्मक (वि.)"
addition formula,योग का सूत्र
addition of complex numbers,सम्मिश्र संख्याओं का योग
addition of functions,फलनों का योग
addition of matrices,आव्यूहों का योग
addition of polynomials,बहुपदों का योग
addition of probabilities,प्रायिकताओं का योग
addition of vectors,सदिशों का योग
addition theorem,"योग प्रमेय बेरीज सिद्‌धांत,"
additive group,योज्य समूह
additive inverse,योज्य व्युत्क्रम
additive property,"योज्यता, योगशीलता"
additivity,योज्यता
adjacency matrix,आसन्नता आव्यूह
adjacent," संलग्न, निकटवर्ती , आसन्न"
adjacent angles,आसन्न कोण
adjacent vertex,आसन्न शीर्ष
adjoin,सहबद्‌ध करना
adjoining,"संलग्न संलग्नीत,"
adjoint determinant,सहखंडज सारणिक
adjoint differential equation,संलग्न अवकल समीकरण
adjoint equation,संलग्न समीकरण
adjoint matrix,सहखंडज आव्यूह
adjoint of matrix,आव्यूह सहखंडज
adjugate matrix,सहखंडज आव्यूह
admissible decision function,ग्राह्य निर्णय फलन
admissible hypothesis,ग्राह्य परिकल्पना
aerodynamic force,वायुगतिक बल
aerodynamics,वायु गतिकी
affine geometry,सजातीय ज्यामिति
affine mapping,सजातीय प्रतिचित्रण
affine transformation,सजातीय रूपांतरण
aggregating variables,समुच्चयी चर
algebra," बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया"
algebraically closed,"बीजतः संवृत, बीजतः"
algebraic equation,बीजीय समीकरण
algebraic expression,बीजीय व्यंजक
algebraic form,बीजीय समघात
algebraic function,बीजीय फलन
algebraic geometry,बीजीय ज्यामिति
algebraic multiplicity,बीजीय बहुकता
algebraic system,बीजीय निकाय
all-integer problem,सर्व-पूर्णांक समस्या
allocation problem,"नियतन समस्या वाटपप्रश्न,"
alphabetical notation,अक्षरात्मक संकेत पद्‌धति
alphabetic character,अक्षरात्मक संप्रतीक
alternate angle,एकांतर कोण
alternating form,"एकांतर समघात प्रत्यावर्ती रूप,"
alternating group,एकांतर समूह
alternating matrix,एकांतर आव्यूह
alternating series,एकांतर श्रेणी
alternative hypothesis,वैकल्पिक परिकल्पना
alternative optima,वैकल्पिक इष्टमत
alternative outcome,वैकल्पिक परिणाम
analog-to-digital converter,अनुरूप-अंकीय परिवर्तक
analogue computer,"अनुरूप कम्प्यूटर,"
analysis,विश्लेषण
analysis of covariance,सहप्रसरण-विश्लेषण
analysis of enumeration data,गणन-आंकड़ों का विश्लेषण
analysis of variance,प्रसरण-विश्लेषण
analytic geometry,विश्लेषिक ज्यामिति
analytic function,विश्लेषिक फलन
angle,कोण
angle of contact,स्पर्श-कोण
angle of deflection,विक्षेप-कोण
angle of depression,अवनमन-कोण
angle of deviation,विचलन-कोण
angle of diffraction,विवर्तन-कोण
angle of elevation,उन्नयन-कोण
angle of incidence,आपतन-कोण
angle of projection,प्रक्षेप-कोण
angle of reflection,परावर्तन-कोण
angle of refraction,अपवर्तन-कोण
