English,Hindi,
"aback","अचानक, एकाएक,पीछे",
"abandon","छोड देना, त्याग देना, त्यागना, तजना,बिना आज्ञा नौकरी छोडना, अपने को( दुराचार आदि में) छोड देना, दे देना",
"abandoned","छोडा हुआ, निर्जन( स्थान) ,बिगडा हुआ, इन्द्रिय लोलुप, लम्पट, दुराचारी, आवारा",
"abandonment","पूर्ण त्याग, सम्पूर्ण आत्मोत्सर्ग, बिल्कुल छोड देना",
"abate","कम होना, घटना, धीमा होना",
"abate","कम करना, घटाना, धीमा करना, मध्यम करना, रोक देना, समाप्त करना",
"abatement","कमी, घटती, घटाव, मन्दापन, बट्टा,त्याग, समाप्ति",
"abbey","ईसाइयो का मठ, गुरुद्वारा, कुटी, मठ,महन्त के आधीन साधुओं की मण्डली",
"abbot","महन्त, मठधारी, मठाधिकारी",
"abbreviate","कम करना, संक्षेप करना, छोटा करना, सार निकालना",
"abbreviation","संक्षेप, घटाव, सार, लघुरूप, संकेत,संक्षिप्त पद्यांश, शब्द या पद का लघुरूप",
"abdicate","स्वेच्छा से छोडना, त्याग करना, तजना, पद त्याग करना",
"abdication","पद त्याग",
"abdomen","पेड, पेट, कुक्षी, उदर",
"abdominal","उदर सम्बन्धी, पेट का",
"abduct","भगा ले जाना, निकाल ले जाना, बहका ले जाना",
"abduction","किसी को फुसला या धमका कर भगा ले जाना, धोका देकर निकाल ले जाना, बलात्कार हरण, अपहरण",
"abed","बिछौने पर, शय्या पर, बिछौने में",
"aberrant","धार्मिक मार्ग से विचलित, पथ भ्रष्ट, भटका हुआ",
"aberration","भ्रम, विक्षेप, भूल, च्युति, पथ भ्रष्टता",
"abet","बुरे काम के लिये उसकाना, बहकाना, सहायक होना( अपराध आदि में) ना",
"abeyance","क्षणिक विराम, विलंब, ठहराव, रुकाव, थोडे समय के लिये अकर्मण्यता",
"abhor","झिझकना, घृणित या निंदा समझना, घृणा करना, डर से सकुचाना",
"abhorrence","घृणा, विद्वेष, झिझक",
"abide","बसना, डेरा करना, टिकना, ठहरना, रहना,पालन करना, मानना, पक्का रहना, दृढ रहना",
"abide","बाट जोहना, प्रतीक्षा करना,सहना, सहन करना, भुगतना",
"ability","योग्यता, निपुणता, प्रवीणता, सामर्थ्य, गुण, शक्ति, पराक्रम, अधिकार, दक्षता",
"abject","कमीना, नीच, बुरा, अधम, पतित, घृणा योग्य, घृणित",
"ablaze","जलता हुआ, प्रज्वलित, जाज्व्ल्यमान,उत्तेजित",
"able","चतुर, प्रवीण, गुणवान, समर्थ, योग्य, दक्ष, निपुण",
"abnormal","असाधारण, असामान्य, नियमविरुद्ध, व्यवस्था के प्रतिकूल, रीतिविरुद्ध, अनुचित",
"aboard","जहाज पर, नौका पर, जलयान में",
"abode","घर, मकान, डेरा, वास स्थान,वास स्थिति",
"abolish","उठा देना, मिटाना, बन्द करना, समाप्त करना, क्षय करना, नाश करना",
"abolition","लोप, नाश, टूट, मिटाव, उठाव, मन्सूखी",
"abominable","घृणित, घृणा योग्य, बुरा, घिनौना, अरुचिकर",
"abomination","घृणा, विद्वेष, अपविघ्नता,अशुद्ध वा घृणित वस्तु",
"aboriginal","आदि का, आदिम, प्राचीन, पुराना, प्रथम",
"aborigines","प्राचीन देशवासी, आदि निवासी, आदिवासी, किसी देश के पहले के लोग",
"abort","गर्भस्राव होना, गर्भ गिरना",
"abortion","गर्भपात, पेट गिरना, अकालोत्पत्ति,कच्चा गर्भ, कोई अपूर्ण वस्तु,भ्रूण हत्या करना",
"abortive","अधूरा, कच्चा, अपूर्ण काल,निष्फल, वृरथा, विफल,गर्भपात की औषधि",
"abound","बहुतायात से होना, अधिकता से उत्पन्न होना, फट पडना, बह निकलना,भरपूर होना, परिपूर्ण होना",
"about","चारो ओर, इधर उधर, भिन्न दिशाओं में,( वह जाने वाला है या जाने के , लिये तैयार है) ,उद्यत, तैयार",
"about","चारो ओर, आसपास में, निकट, लगभग,विषय के बारे में, संबंध में,उत्पन्न करना, कारण रूप होना",
"above","ऊंचा, अधिक, बढकर, सिवा, ऊपर, श्रेष्ठ",
"above","ऊपर, उस पार या ओर, परे, बाहर, बढकर",
"abration","रगड, घिसन",
"abreast","एक सीध में, साथ साथ, एक दूसरे के बगल में, बराबर",
"abreast","समान रूप से अग्रसर या उन्नत",
"abridge","लघु करना, संक्षेप करना, न्यून या कम करना, सार निकालना, छांटना, घटाना",
"abroad","बाहर, परदेश में, देश से बाहर, घर के बाहर",
"abroad","खुला हुआ, चारो ओर फैला हुआ, निर्बंध, स्वतंत्र",
"abrogate","रद्द करना, निष्प्रभाव करना, उठा देना, तोड देना, मिटा देना",
"abrupt","विषम, ऊंचा नीचा, टूटा या उखडा हुआ,एकाएक, आकस्मिक, अचानक,असभ्य, अशिष्ट, अक्खड",
"abruptly","शीघ्रता से, अकस्मात, अचानक, एकाएक, सहसा,अशिष्टता से",
"absence","अनुपस्थिति, गैरहाजिरी,परोक्ष, न रहना,न होना, अभाव,शून्यमनस्कता, बेसुधी,वियोग",
"absent","अनुपस्थित, अवर्तमान, गैरहाजिर, कहीं गया हुआ,शून्यमन, बेपरवाह",
"absent","अपने को उपस्थित न रखना, अनुपस्थित रहना, हट जाना",
"absentee","अनुपस्थित जन, प्रवासी",
"absolute","स्वेच्छाचारी,स्वतंत्र, स्वाधीन,नित्य, परम, अनन्य संबद्ध, केवल, अपरिवर्तनशील,नियमविवर्जित",
"absolutely","स्वेच्छापूर्वक, निपट, निरा, अवश्य, नितान्त, पूर्ण रूप से, सर्वथा",
"absolve","क्षमा करना, छोडना, मुक्त करना, पापो से उद्धार करना, बरी करना",
"absorb","सोखना, निगल जाना, पी लेना, ग्रास करना,लवलीन करना, पूर्ण रूप से ना, चित्त आकर्षित करना",
"absorbed","सोखा हुआ, शोषित, पूर्ण रूप से नियुक्त, लवलीन, लगा हुआ",
"absorbent","सोखने वाला, शोषक, निगलने वाला",
"abstain","बचना, निवृत्त होना, अलग रहना, दूर रहना, परहेज रखना",
"abstract","सारांश, तत्व, संक्षेप",
"abstract","संक्षेप करना, न्यून करना, सार निकालना,अलग करना, आकर्षित करना",
"abstraction","बेसुधी, पृथक्करण, ध्यान की एकाग्रता, संक्षेप करण",
"absurd","बुद्धिविरुद्ध, न्यायविरुद्ध, अयुक्त, अनर्थक, बेहूदा, ऊटपटांग, हास्यास्पद",
