English,Hindi
chemical,"['रासायनिक द्रव्य(CH),रासायनिक(PH)']"
propulsion,['नोदन(PH)']
engineering,"['1.अभियांत्रिकी (BT),अभियांत्रिकी(CH)']"
leading,['अग्रग(PH)']
group,"['1. वर्ग(MA),समूह(IT),वर्ग(PH)']"
and,['और (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त)(IT)']
laboratory,['प्रयोगशाला(PH)']
work,"['कार्य(MA),कार्य(PH)']"
addition,"['योग(MA),1. योग जोड़ संकलन (सं.) 2. योगज योगात्मक (वि.)(CH),योग(PH)']"
research,"['अनुसंधान(IT),अनुसंधान(PH)']"
development,['परिवर्धन (PH)']
field,"['1. क्षेत्र 2. क्षेत्रक 3. खेत 4. फील्ड(MA),क्षेत्र(IT),क्षेत्र (PH)']"
energy,"['ऊर्जा(MA),ऊर्जा(CH)']"
number,['संख्या(MA)']
critical,"['क्रांतिक(CH),क्रांतिक(PH)']"
solid,"['1. ठोस(MA),ठोस(PH)']"
liquid,['तरल(PH)']
space,"['1. आकाश(MA),आकाश(PH)']"
fundamental,"['मूल(MA),मूल(PH)']"
combustion,"[' प्रदहन (CH), प्रदहन (PH)']"
hybrid,['संकर(PH)']
rocket,['राकेट(PH)']
propagation,"['संचरण(CH),1.संचरण(IT),संचरण(PH)']"
complex,"['1. सम्मिश्र 2. संकुल 3. जटिल(CH),सम्मिश्र(IT),सम्मिश्र (PH)']"
chemistry,['रासायनिक(CH)']
aircraft,['वायुयान(PH)']
heat,"['ऊष्मा(CH),ऊष्मा(PH)']"
transfer,['स्थानांतरण(MA)']
nuclear,"['केंद्रकीय(BT),1. नाभिकीय(CH),नाभिकीय(PH)']"
reactor,"['रिऐक्टर(BT),रिऐक्टर(PH)']"
system,['निकाय(PH)']
pressure,['दाब(MA)']
mechanics,"['1. बलविज्ञान 2. यांत्रिकी(CH),बलविज्ञान(PH)']"
aeronautical,['वैमानिक(PH)']
missile,"['प्रेक्षपणास्त्र(CH),प्रेक्षेपणास्त्र(PH)']"
technology,"['प्रौद्योगिकी(CH),प्रौद्योगिकी(PH)']"
cell,"['कोशिका(BT),1. कोशिका 2. सेल 3. कोष्ठिका(CH),सेल(IT)']"
joint,['जोड़(MA)']
advanced,['अग्रगत(PH)']
programme,"['1. कार्यक्रम 2. क्रमादेश(CH),प्रोग्राम(PH)']"
centre,"['केंद्र(MK),केन्द्र*(MA),केन्द्र(PH)']"
preliminary,['प्रारंभिक(PH)']
design,"['अभिकल्प(MA),अभिकल्प(IT),अभिकल्प(PH)']"
vehicle,['माध्यम(BT)']
or,['ऑर(IT)']
test,"['परीक्षण(MA),परीक्षण(IT)']"
sense,['संवेद(PH)']
course,['अभीष्ट दिशा (PH)']
mark,['अंक(PH)']
real,"['वास्तविक(MA),वास्तविक(CH),तिमेवास्तविक काल(IT),वास्तविक(PH)']"
analysis,"['विश्लेषण(MA),विश्लेषण(CH),विश्लेषण(PH)']"
parameter,"['1. प्राचल 2. अंतःखंडी अनुपात(MA),1. प्राचल 2. अंतःखंडी अनुपात(CH),प्राचल(IT),प्राचल(PH)']"
power,"['1. शक्ति (MA),1. क्षमता(CH),शक्ति(PH)']"
source,['स्रोत(CH)']
current,"['प्रवाह(MA),1. प्रवाह 2. चालू 3. वर्तमान(CH),प्रवाह(PH)']"
specific,['आपेक्षिक(PH)']
class,['1.श्रेणी(IT)']
general,['व्यापक(CH)']
short,['लघु(PH)']
thermodynamics,['ऊष्मागतिकी(PH)']
data,"['1. दत्त(MA),1. दत्त (CH)']"
far,['सुदूर(PH)']
pattern,"['चित्राम(MA),प्रतिरूप(CH),चित्राम(PH)']"
possible,['संभव(MA)']
like,['सदृश(PH)']
ion,['आयन(PH)']
treatment,['1. प्रशोधन 2. उपचार(MA)']
level,['समतल सुरंग(PH)']
reading,"['पठन(IT),पाठ्यांक(PH)']"
reader,['पाठक(IT)']
classical,"['चिरसम्मत(CH),चिरसम्मत(PH)']"
background,['पृष्ठभूमि(PH)']
thermodynamic,"['ऊष्मागतिक(MA),ऊष्मागतिक(PH)']"
gas,['गैस(CH)']
dynamic,['गतिक(PH)']
cycle,"['1.चक्र(MA),चक्र(IT),चक्र(PH)']"
format,"['संरूप(CH),1.फॉरमैट(IT)']"
capture,"['प्रग्रहण(CH),प्रग्रहण(PH)']"
performance,['निष्पादन(PH)']
unit,"['1. मात्रक(MA),1.एकक(IT),मात्रक(PH)']"
dimensionless,"['विमाहीन(MA),विमाहीन(CH),विमाहीन अविम(PH)']"
flow,"['प्रवाह(CH),प्रवाह (PH)']"
flight,['उड़आन(PH)']
turbine,['टरबाइन(PH)']
range,"['1. परास 2. परिसर (MA),1. परास 2. परिसर 3. माला(CH)']"
not,['नॉट(IT)']
still,"['1. भभका(CH),भभका(PH)']"
रुद्धोष्म,"['रुद्धोष्म(CH),रुद्धोष्म(PH)']"
flame,['ज्वाला(PH)']
temperature,"['ऊष्मा(CH),1.ऊष्मा(IT),ऊष्मा(PH)']"
composition,"['1. संघटन 2. संयोजन(CH),संयोजन(IT)']"
process,"['1. प्रक्रम 2. प्रवर्ध(MA),प्रक्रम(BT),प्रक्रम(CH),प्रक्रम(IT),प्रक्रम(PH)']"
emphasis,['पूर्व प्रबलन (PH)']
grain,"['1. रेणु दाना 2. कण(CH),कण(PH)']"
internal,['आंतरिक(PH)']
ballistics,"['प्राक्षेपिकी(MA),प्राक्षेपिकी(CH),प्राक्षेपिकी(PH)']"
ignition,['ज्वलन(PH)']
nozzle,"['तुंड(CH),तुंड(PH)']"
thermal,['तापीय(PH)']
protection,"['रक्षण(CH),संरक्षण(IT)']"
thrust,"['1. प्रणोद 2. क्षेप(MA),प्रणोद(PH)']"
vector,"['सदिश(MA),संवाहक(BT),सदिश(IT),सदिश(PH)']"
control,"['नियंत्रण(MA),नियंत्रण(IT),नियंत्रण(PH)']"
size,"['1.साइज(IT),साइज(PH)']"
life,['जीव(PH)']
injection,"['अंतःक्षेपण(BT),अंतःक्षेपण(CH),अन्त:क्षेपण(PH)']"
chamber,"['1. कोष्ठ कक्ष 2. वेश्म(CH),कोष्ठ(PH)']"
sizing,"['1. आमाप वर्गीकरण 2. आमापन 3. चिक्कणन(CH),आमापन(IT)']"
cooling,"['शीतलन(CH),शीतन(PH)']"
arrangement,"['विन्यास(MA),1. व्यवस्था 2. विन्यास(CH)']"
optimal,"['1.ऐच्छिक(IT),अनुकलतम(PH)']"
low,['अल्प दाब क्षेत्र(PH)']
frequency,"['1. आवत्तिृ 2. बारंबारता(MA),1. आवृत्ति 2. बारंबारता(CH),आवृत्ति (PH)']"
read,['पठन(IT)']
move,['1.चल(IT)']
even,"['सम(MA),सम(PH)']"
practical,['प्रयोगात्मक(PH)']
graphics,['1.आलेखी(IT)']
page,['पृष्ठ(IT)']
support,['टेक(PH)']
message,"['संदेश(MA),संदेश(IT),संदेश(PH)']"
piston,['पिस्टन(PH)']
augmentation,"['संवर्धन(CH),संवर्धन(IT),संवर्धन(PH)']"
water,['जल(PH)']
spool,['स्पूल(PH)']
ee,['(CH)']
noise,"['रव(IT),शोर(PH)']"
pollution,['प्रदूषण(CH)']
efficiency,"['कार्यक्षमता(CH),कार्यक्षमता(PH)']"
overall,"['समग्र(CH),समग्र(PH)']"
dynamics,"['गतिविज्ञान(MA),1.गति विज्ञान(IT),गतिविज्ञान(PH)']"
conservation,['संरक्षी(PH)']
mass,"['1. द्रव्यमान 2. संहति(CH),द्रव्यमान(PH)']"
generation,"['1.जनन (BT),1. पीढ़ई 2. उत्पादन 3. जनन(CH)']"
exit,"['निर्गम(CH),निर्गम(IT),निर्गम(PH)']"
ambient,"['परिवेश(CH),परिवेश(PH)']"
positive,"['1. धनात्मक(MA),1. धनात्मक(CH),धनात्मक(PH)']"
optimum,"['अनुकूलतम(MA),अनुकलतम(PH)']"
expansion,"['प्रसार(MA),प्रसार(CH),प्रसार(PH)']"
procedure,"['प्रक्रम(MA),प्रक्रम(CH),प्रक्रम(PH)']"
supersonic,"['पराध्वनिक(CH),पराध्वनिकी(PH)']"
compression,"['संपीडन(MA),संपीडन(CH),संपीडन(PH)']"
axial,"['अक्षीय(CH),अक्षीय(PH)']"
fuel,['ईंधन(PH)']
emission,"['उत्सर्जन(MA),उत्सर्जन(CH),उत्सर्जन(PH)']"
compressor,['संपीडित्र(PH)']
degree,"['1. डिग्री(MA),डिग्री(PH)']"
